date,treatment,crop,row,unique_id,Asat,qyield,rdark
10/15/24,p,radish,ten,pr10,23.71,0.0598,1.69
10/15/24,c,radish,center,crc,19.23,0.047,1.33
10/15/24,c,radish,south,crs,25.72,0.061,2.02
10/15/24,p,radish,eleven,pr11,22.53,0.055,1.82
10/15/24,p,radish,eleven,pr11.2,23.04,0.06,1.46
10/15/24,c,radish,north,crn,21.69,0.053,2.03
10/15/24,c,radish,center,crc.2,25.25,0.059,1.83
10/16/24,c,radicchio,east,cde,14.56,0.046,0.84
10/16/24,p,radicchio,ten,pd10,16.12,0.044,0.69
10/16/24,c,radicchio,east,cde.2,19.9,0.049,1.02
10/16/24,c,radicchio,center,cdc,18.87,0.047,0.94
10/16/24,p,radicchio,ten,pd10.2,13.04,0.041,0.47
10/16/24,p,radicchio,eleven,pd11,16.5,0.048,0.76
10/16/24,p,radicchio,eleven,pd11.2,15.48,0.052,0.61
10/16/24,p,radicchio,nine,pd9,17.44,0.046,0.9
10/16/24,c,radicchio,west,cdw,19.7,0.05,0.88
10/16/24,c,radicchio,west,cdw.2,16.55,0.045,1
10/16/24,p,radicchio,eight,pd8,15.87,0.049,0.64
10/16/24,p,radicchio,eight,pd8.2,13.51,0.04,0.65
10/16/24,c,radicchio,west,cdw.3,19.72,0.046,1.01
10/17/24,c,radicchio,west,cdw,9.16,0.044,1.01
10/17/24,c,radish,center,crc,12.56,0.033,1.3
10/17/24,p,radish,eight,pr8,19.67,0.044,1.99
10/17/24,p,radicchio,eight,pd8,10.43,0.033,0.76
10/17/24,p,radicchio,eight,pd8.2,9.65,0.031,0.45
10/17/24,c,radicchio,center,cdc,14.33,0.043,0.94
10/17/24,c,radish,center,crc.2,20.65,0.042,1.66
10/17/24,c,radish,east,cre,18.39,0.045,1.46
10/17/24,p,radicchio,ten,pd10,15.35,0.054,0.85
10/17/24,p,radicchio,ten,pd10.2,13.59,0.048,0.75
10/17/24,p,radish,ten,pr10,24.4,0.049,1.68